strategy_id,rated_power_kw,rated_energy_kwh,duration_h,is_valid,feasible,used_fast_reject,obj_npv,obj_payback,obj_investment,obj_safety,duration_violation_h,cycle_violation,transformer_violation_hours,transformer_slack_kw,negative_cashflow_violation,payback_violation_years,max_violation,total_violation,screening_messages,notes,npv_yuan,irr,simple_payback_years,discounted_payback_years,initial_investment_yuan,annualized_net_cashflow_yuan,lc_net_profit_yuan,annual_net_operating_cashflow_yuan,annual_equivalent_full_cycles,annual_battery_throughput_kwh,transformer_violation_hours_runtime,max_transformer_slack_kw_runtime
阳光电源_ST510CS-4H-CN,2500.0,10395.483113082446,4.158193245232979,True,True,False,-15407825.507129235,4.464090099480538,9791019.365650008,324.6079315665984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",15407825.507129235,0.21960073204881092,4.464090099480538,5.358391692145814,9791019.365650008,2204870.637383272,34306393.38201544,2267858.335771157,324.6079315665984,6748912.541946392,0.0,0.0
阳光电源_ST510CS-4H-CN,2485.6495156885285,9942.598062754114,4.0,True,True,False,-15028975.762929749,4.4220604509738575,9405697.767365392,321.8938560129496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",15028975.762929749,0.22183253787365975,4.4220604509738575,5.29873897805256,9405697.767365392,2137881.6018530177,33351934.269694965,2199827.7443657257,321.8938560129496,6400922.458413608,0.0,0.0
阳光电源_ST510CS-4H-CN,1867.901005980697,7471.604023922788,4.0,True,True,False,-11333538.238457823,4.412304778695501,7068137.4066309575,330.77197937550284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",11333538.238457823,0.2223536387470153,4.412304778695501,5.284900388653046,7068137.4066309575,1609995.6903608749,25131776.400586538,1657191.3013671222,330.77197937550284,4942794.504205825,0.0,0.0
阳光电源_ST510CS-4H-CN,2438.553786738753,10906.496168333222,4.472526391521278,True,True,False,-15884898.882361034,4.491570665867528,10191946.743913004,310.1111195243247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",15884898.882361034,0.21818024879445058,4.491570665867528,5.397337408267843,10191946.743913004,2281923.215910832,35446517.574303634,2342640.4236575584,310.1111195243247,6764451.473699146,0.0,0.0
阳光电源_ST510CS-4H-CN,1739.404062616665,7057.958149835012,4.05768751581355,True,True,False,-10129486.48500208,4.559916894159053,6665891.14271277,325.71447699486725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",10129486.48500208,0.21463300284941086,4.559916894159053,5.494471090506096,6665891.14271277,1469659.0890799668,22727290.638886563,1513373.6972956122,325.71447699486725,4597758.294850344,0.0,0.0
阳光电源_ST510CS-4H-CN,2146.480949533934,9912.242579457328,4.617903821419694,True,True,False,-12433505.122415913,4.899517606609211,9232412.733002579,286.85027886682354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",12433505.122415913,0.19854189135874645,4.899517606609211,5.976480219501733,9232412.733002579,1896695.6013821275,28701499.294639967,1948187.198603339,286.85027886682354,5686659.096225874,0.0,0.0
阳光电源_ST510CS-2H-CN,2500.0,6425.000000000001,2.5700000000000003,True,True,False,-10049162.06108217,4.405996404463638,6267725.000000001,351.1373216194669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",10049162.06108217,0.22255278961760794,4.405996404463638,5.276366655253605,6267725.000000001,1426885.547377801,22269985.94755602,1487811.8202440913,351.1373216194669,4512114.58281015,0.0,0.0
阳光电源_ST510CS-2H-CN,2485.6495156885285,6388.119255319519,2.5700000000000003,True,True,False,-9779238.070963059,4.464469722645832,6231747.044287554,353.77005995758066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",9779238.070963059,0.21942497749086376,4.464469722645832,5.359419454007807,6231747.044287554,1400184.838944705,21771949.734606545,1460924.838863385,353.77005995758066,4519850.6639411235,0.0,0.0
阳光电源_ST510CS-4H-CN,2299.0599615594483,9213.975078089943,4.007714123228052,True,True,False,-12641575.570560802,4.688985570495555,8714487.283601202,306.7422577569736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",12641575.570560802,0.20825269305195768,4.688985570495555,5.677712908129839,8714487.283601202,1868972.4049249333,28664960.814897463,1924929.9991115364,306.7422577569736,5652631.036739592,0.0,0.0
阳光电源_ST510CS-4H-CN,2446.986384622131,11953.543424982707,4.885006103876871,True,True,False,-15451726.370933123,4.799596976752529,11072001.910405774,295.69479899470724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['通过快速筛选。'],"['已基于 fast_proxy 结果触发 full_recheck。', '已完成 full_recheck 年度运行与生命周期财务评价。']",15451726.370933123,0.20307962754770686,4.799596976752529,5.834579046688473,11072001.910405774,2321826.567781768,35364529.44522959,2382008.9621232315,295.69479899470724,7069201.240649532,0.0,0.0
